id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCpSyYrKg2EolrrZ1XOJrPLw,0,0,0,0,0,0,0,0,0,0,0,0
UC1ft-ECMa6oHFVA9DXX98eQ,0,0,0,0,0,0,0,0,0,0,0,0
UCNyO7ml_HVGhJWFQrxWtE_Q,0,0,0,0,0,0,0,0,0,0,0,0
UCCtG3JJ62yRsAvRS5cT0aMQ,1,1,0,0,0,0,0,0,0,0,0,0
UC3339WgBDKIcxTfywuSmG8w,1,1,1,0,0,0,1,0,0,0,0,0
UCrXT6rzx75YEJpHCZv_Hhhw,0,0,0,0,0,0,0,0,0,0,0,0
UCbl4pUH7hdGRiq0lQVTwHPQ,0,0,0,0,0,0,0,0,0,0,0,0
UCpPcXAGIp_pWURZZXTtTrzQ,0,1,0,0,0,0,0,0,0,0,0,0
UCZxd1x9QJughovwPIUso7qQ,1,1,1,0,0,0,0,0,0,0,0,0
UCH1cm14IzXN9IoWTcDhQRYw,0,0,0,0,0,0,0,0,0,0,0,0
UCyGd3cN0zA8VLLqYV-QyIiQ,1,0,0,0,0,0,0,0,0,0,0,0
UCUKMpHTtAG8bJY7bMSatNJg,0,1,0,0,1,0,0,0,0,0,0,1
UCFFUY0PCOH3CieBjbZd5suw,0,0,0,0,0,0,0,0,0,0,0,0
UCSXIjW3-sHwsiLLt2G8hEnw,1,1,1,0,0,0,0,0,0,0,0,0
UCi0q0edqBVUrWV33p7oE2VQ,0,0,0,0,0,0,0,0,0,0,0,0
UCC0-My2lNKhaHTa2tHwlabw,0,0,0,0,0,0,0,0,0,0,0,0
UC8SZEDw9KOK_-wnki2nrj3A,0,0,0,0,0,0,0,0,0,0,0,0
UCiwlzp0GvOuvM_zH7myirOQ,0,0,0,0,0,0,0,0,0,0,0,0
UCy4yUVOTiEpS9H94m-Qej2Q,0,0,0,0,0,0,0,0,0,0,0,0
UCP0XktX1FmYL--LLm1W3FSA,0,0,0,0,0,0,0,0,0,0,0,0
UCsPA-hLmF_kXPHP-YjGWeKw,0,0,0,0,0,0,0,0,0,0,0,0
UC9tztlONSXmfzY3QAQ82QFQ,0,0,0,0,0,0,0,0,0,0,0,0
UCWgaZEAILUROPpbBTHfd7oQ,0,0,0,0,0,0,0,0,0,0,0,0
UCU8AzcteogFlkllpmqm7yuw,0,0,0,0,0,0,0,0,0,0,0,0
UC1OntG4gnEN6OlQndUdsR0w,0,0,0,0,0,0,0,0,0,0,0,0
UCPDJ4OCfCe374_P1gfYKedA,0,0,0,0,0,0,0,0,0,0,0,0
UC17IvepCKuw7gkSTHSPP_Ww,0,0,0,0,0,0,0,0,0,0,0,0
UCwCVy302o8QfMAUchvB2t5A,0,0,0,0,0,0,0,0,0,0,0,0
UCj9aFd9JVA70udVnum-MKWQ,0,0,0,0,0,0,0,0,0,0,0,0
UCBgO8Z95Kx306kU5R6RFA5Q,1,0,0,0,0,0,1,0,0,0,0,0
UCXa9OdFk95q_MiS8Yu2Cvzg,0,0,0,0,0,0,0,0,0,0,0,0
UCndI_OHzAW5o8HxM4vq0rtg,1,1,0,0,0,0,0,0,0,0,0,0
UCNCruS9eBYPJt9p955J5tzg,0,0,0,0,0,0,0,0,0,0,0,0
UC-TQcBxiQrZcr7fPFIzXmog,0,0,1,0,0,0,0,0,0,0,0,0
UC_vLNW0-OMojPEg4aO74bbg,0,0,0,0,0,0,0,0,0,0,0,0
UCZcz_zqcL-Zla6oifipbNug,0,0,0,0,0,0,0,0,0,0,0,0
UCIhRlSaMdABFJO3QM16mcSA,0,0,0,0,0,0,0,0,0,0,0,0
UCzPQreht47Pu8SI2Gp1D-dA,0,0,0,0,0,0,0,0,0,0,0,0
UCay_OLhWtf9iklq8zg_or0g,1,1,1,0,0,0,0,0,0,0,0,0
UCSedogQCU-k76_UNu8WpNDg,0,0,0,0,0,0,0,0,0,0,0,0
UCvWYeLsotvHG_k6SgcGTPvw,0,0,0,0,0,0,0,0,0,0,0,0
UC2Fv5bsYzD36xxv9JrAuPzg,0,0,0,0,0,0,0,0,0,0,0,0
UCUImlwIk9-88oX_3W4csqug,0,0,0,0,0,0,0,0,0,0,0,0
UCAn_oF3Mv31X1_iAKenIBCA,0,1,0,0,0,0,0,0,0,0,0,0
UC0z4P1lnHGikBW1z-edBk8A,0,0,0,0,0,0,0,0,0,0,0,0
UCvAlmquinLlGfcuLJcLNWAg,0,0,0,0,1,0,0,0,0,0,0,0
UC3zhCcqhdyyy6vyzwoWZJ7Q,1,0,1,0,0,0,0,0,0,0,0,0
UCrxRPHW6bkFNfxrxsEgBQjA,0,0,0,0,0,0,0,1,0,0,0,0
UCKUtS2jNgfdEBRwWK1sz4-Q,0,0,0,0,0,0,0,0,0,0,0,0
UC7MczB0UfR5SUQibfGmL0cg,0,0,0,0,0,0,0,0,0,0,0,0
UCHP_QW1gylTTNCs3iLbgY3Q,0,0,0,0,0,0,0,0,0,0,0,0
UCRUMmF563C8os4JNT_OGdJg,0,0,0,0,0,0,0,0,0,0,0,0
UCeR-Gl1vDj-nYjaUvfGykDQ,0,0,0,0,0,0,0,0,0,0,0,0
UCk8Kccr5vckZVyJ2KmR0sIw,0,0,0,0,0,0,0,0,0,0,0,0
UCnGeLNkT4PdWM0RoNwm2W8g,0,0,0,0,0,0,0,0,0,0,0,0
UC-ddJ1wpFzP8SmaqqqNH_DA,1,1,0,0,0,0,0,0,0,0,0,0
UC1ezoVTHnyxR1e5QYqdY7Lg,0,1,0,0,0,1,0,1,0,0,0,0
UCrAjlDXb6HdHoo27lsKbmBA,1,1,0,0,0,0,0,0,0,0,0,0
UC9PZT9f2YJRmtQL9455WH9A,1,0,0,0,0,0,0,0,0,0,0,1
UCSQ8T6df08Ukc8wKvbxWfww,0,0,0,0,0,0,0,0,0,0,0,0
UCavAXp3fx_l7MuJm6p5HuXw,0,0,0,0,0,0,0,0,0,0,0,0
UCXGrOG7PE1Xsjw4XZe43nvg,0,0,0,0,0,0,0,0,0,0,0,0
UCidCOTG_pjHVQPck5S1Bq-w,0,0,1,0,0,0,0,0,0,0,0,0
UCQ1Z0PHeTC4pLROheEV1XkA,0,0,0,0,0,0,0,0,0,0,0,0
UCd4oxgLE6PGowmAGV3bCL1Q,0,0,0,0,0,0,0,0,0,0,0,0
